normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,length,width,height,curb-weight,num-of-cylinders,engine-size,horsepower,peak-rpm,city-mpg,highway-mpg,price,Class
?,alfa-romero,gas,std,two,convertible,rwd,front,168.8,64.1,48.8,2548,four,130,111,5000,21,27,13495,3
?,alfa-romero,gas,std,two,convertible,rwd,front,168.8,64.1,48.8,2548,four,130,111,5000,21,27,16500,3
?,alfa-romero,gas,std,two,hatchback,rwd,front,171.2,65.5,52.4,2823,six,152,154,5000,19,26,16500,1
164,audi,gas,std,four,sedan,fwd,front,176.6,66.2,54.3,2337,four,109,102,5500,24,30,13950,2
164,audi,gas,std,four,sedan,4wd,front,176.6,66.4,54.3,2824,five,136,115,5500,18,22,17450,2
?,audi,gas,std,two,sedan,fwd,front,177.3,66.3,53.1,2507,five,136,110,5500,19,25,15250,2
158,audi,gas,std,four,sedan,fwd,front,192.7,71.4,55.7,2844,five,136,110,5500,19,25,17710,1
?,audi,gas,std,four,wagon,fwd,front,192.7,71.4,55.7,2954,five,136,110,5500,19,25,18920,1
158,audi,gas,turbo,four,sedan,fwd,front,192.7,71.4,55.9,3086,five,131,140,5500,17,20,23875,1
?,audi,gas,turbo,two,hatchback,4wd,front,178.2,67.9,52,3053,five,131,160,5500,16,22,?,0
192,bmw,gas,std,two,sedan,rwd,front,176.8,64.8,54.3,2395,four,108,101,5800,23,29,16430,2
192,bmw,gas,std,four,sedan,rwd,front,176.8,64.8,54.3,2395,four,108,101,5800,23,29,16925,0
188,bmw,gas,std,two,sedan,rwd,front,176.8,64.8,54.3,2710,six,164,121,4250,21,28,20970,0
188,bmw,gas,std,four,sedan,rwd,front,176.8,64.8,54.3,2765,six,164,121,4250,21,28,21105,0
?,bmw,gas,std,four,sedan,rwd,front,189,66.9,55.7,3055,six,164,121,4250,20,25,24565,1
?,bmw,gas,std,four,sedan,rwd,front,189,66.9,55.7,3230,six,209,182,5400,16,22,30760,0
?,bmw,gas,std,two,sedan,rwd,front,193.8,67.9,53.7,3380,six,209,182,5400,16,22,41315,0
?,bmw,gas,std,four,sedan,rwd,front,197,70.9,56.3,3505,six,209,182,5400,15,20,36880,0
121,chevrolet,gas,std,two,hatchback,fwd,front,141.1,60.3,53.2,1488,three,61,48,5100,47,53,5151,2
98,chevrolet,gas,std,two,hatchback,fwd,front,155.9,63.6,52,1874,four,90,70,5400,38,43,6295,1
81,chevrolet,gas,std,four,sedan,fwd,front,158.8,63.6,52,1909,four,90,70,5400,38,43,6575,0
118,dodge,gas,std,two,hatchback,fwd,front,157.3,63.8,50.8,1876,four,90,68,5500,37,41,5572,1
118,dodge,gas,std,two,hatchback,fwd,front,157.3,63.8,50.8,1876,four,90,68,5500,31,38,6377,1
118,dodge,gas,turbo,two,hatchback,fwd,front,157.3,63.8,50.8,2128,four,98,102,5500,24,30,7957,1
148,dodge,gas,std,four,hatchback,fwd,front,157.3,63.8,50.6,1967,four,90,68,5500,31,38,6229,1
148,dodge,gas,std,four,sedan,fwd,front,157.3,63.8,50.6,1989,four,90,68,5500,31,38,6692,1
148,dodge,gas,std,four,sedan,fwd,front,157.3,63.8,50.6,1989,four,90,68,5500,31,38,7609,1
148,dodge,gas,turbo,?,sedan,fwd,front,157.3,63.8,50.6,2191,four,98,102,5500,24,30,8558,1
110,dodge,gas,std,four,wagon,fwd,front,174.6,64.6,59.8,2535,four,122,88,5000,24,30,8921,-1
145,dodge,gas,turbo,two,hatchback,fwd,front,173.2,66.3,50.2,2811,four,156,145,5000,19,24,12964,3
137,honda,gas,std,two,hatchback,fwd,front,144.6,63.9,50.8,1713,four,92,58,4800,49,54,6479,2
137,honda,gas,std,two,hatchback,fwd,front,144.6,63.9,50.8,1819,four,92,76,6000,31,38,6855,2
101,honda,gas,std,two,hatchback,fwd,front,150,64,52.6,1837,four,79,60,5500,38,42,5399,1
101,honda,gas,std,two,hatchback,fwd,front,150,64,52.6,1940,four,92,76,6000,30,34,6529,1
101,honda,gas,std,two,hatchback,fwd,front,150,64,52.6,1956,four,92,76,6000,30,34,7129,1
110,honda,gas,std,four,sedan,fwd,front,163.4,64,54.5,2010,four,92,76,6000,30,34,7295,0
78,honda,gas,std,four,wagon,fwd,front,157.1,63.9,58.3,2024,four,92,76,6000,30,34,7295,0
106,honda,gas,std,two,hatchback,fwd,front,167.5,65.2,53.3,2236,four,110,86,5800,27,33,7895,0
106,honda,gas,std,two,hatchback,fwd,front,167.5,65.2,53.3,2289,four,110,86,5800,27,33,9095,0
85,honda,gas,std,four,sedan,fwd,front,175.4,65.2,54.1,2304,four,110,86,5800,27,33,8845,0
85,honda,gas,std,four,sedan,fwd,front,175.4,62.5,54.1,2372,four,110,86,5800,27,33,10295,0
85,honda,gas,std,four,sedan,fwd,front,175.4,65.2,54.1,2465,four,110,101,5800,24,28,12945,0
107,honda,gas,std,two,sedan,fwd,front,169.1,66,51,2293,four,110,100,5500,25,31,10345,1
?,isuzu,gas,std,four,sedan,rwd,front,170.7,61.8,53.5,2337,four,111,78,4800,24,29,6785,0
?,isuzu,gas,std,two,sedan,fwd,front,155.9,63.6,52,1874,four,90,70,5400,38,43,?,1
?,isuzu,gas,std,four,sedan,fwd,front,155.9,63.6,52,1909,four,90,70,5400,38,43,?,0
?,isuzu,gas,std,two,hatchback,rwd,front,172.6,65.2,51.4,2734,four,119,90,5000,24,29,11048,2
145,jaguar,gas,std,four,sedan,rwd,front,199.6,69.6,52.8,4066,six,258,176,4750,15,19,32250,0
?,jaguar,gas,std,four,sedan,rwd,front,199.6,69.6,52.8,4066,six,258,176,4750,15,19,35550,0
?,jaguar,gas,std,two,sedan,rwd,front,191.7,70.6,47.8,3950,twelve,326,262,5000,13,17,36000,0
104,mazda,gas,std,two,hatchback,fwd,front,159.1,64.2,54.1,1890,four,91,68,5000,30,31,5195,1
104,mazda,gas,std,two,hatchback,fwd,front,159.1,64.2,54.1,1900,four,91,68,5000,31,38,6095,1
104,mazda,gas,std,two,hatchback,fwd,front,159.1,64.2,54.1,1905,four,91,68,5000,31,38,6795,1
113,mazda,gas,std,four,sedan,fwd,front,166.8,64.2,54.1,1945,four,91,68,5000,31,38,6695,1
113,mazda,gas,std,four,sedan,fwd,front,166.8,64.2,54.1,1950,four,91,68,5000,31,38,7395,1
150,mazda,gas,std,two,hatchback,rwd,front,169,65.7,49.6,2380,two,70,101,6000,17,23,10945,3
150,mazda,gas,std,two,hatchback,rwd,front,169,65.7,49.6,2380,two,70,101,6000,17,23,11845,3
150,mazda,gas,std,two,hatchback,rwd,front,169,65.7,49.6,2385,two,70,101,6000,17,23,13645,3
150,mazda,gas,std,two,hatchback,rwd,front,169,65.7,49.6,2500,two,80,135,6000,16,23,15645,3
129,mazda,gas,std,two,hatchback,fwd,front,177.8,66.5,53.7,2385,four,122,84,4800,26,32,8845,1
115,mazda,gas,std,four,sedan,fwd,front,177.8,66.5,55.5,2410,four,122,84,4800,26,32,8495,0
129,mazda,gas,std,two,hatchback,fwd,front,177.8,66.5,53.7,2385,four,122,84,4800,26,32,10595,1
115,mazda,gas,std,four,sedan,fwd,front,177.8,66.5,55.5,2410,four,122,84,4800,26,32,10245,0
?,mazda,diesel,std,?,sedan,fwd,front,177.8,66.5,55.5,2443,four,122,64,4650,36,42,10795,0
115,mazda,gas,std,four,hatchback,fwd,front,177.8,66.5,55.5,2425,four,122,84,4800,26,32,11245,0
118,mazda,gas,std,four,sedan,rwd,front,175,66.1,54.4,2670,four,140,120,5000,19,27,18280,0
?,mazda,diesel,std,four,sedan,rwd,front,175,66.1,54.4,2700,four,134,72,4200,31,39,18344,0
93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,190.9,70.3,56.5,3515,five,183,123,4350,22,25,25552,-1
93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,190.9,70.3,58.7,3750,five,183,123,4350,22,25,28248,-1
93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,187.5,70.3,54.9,3495,five,183,123,4350,22,25,28176,0
93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,202.6,71.7,56.3,3770,five,183,123,4350,22,25,31600,-1
?,mercedes-benz,gas,std,four,sedan,rwd,front,202.6,71.7,56.5,3740,eight,234,155,4750,16,18,34184,-1
142,mercedes-benz,gas,std,two,convertible,rwd,front,180.3,70.5,50.8,3685,eight,234,155,4750,16,18,35056,3
?,mercedes-benz,gas,std,four,sedan,rwd,front,208.1,71.7,56.7,3900,eight,308,184,4500,14,16,40960,0
?,mercedes-benz,gas,std,two,hardtop,rwd,front,199.2,72,55.4,3715,eight,304,184,4500,14,16,45400,1
?,mercury,gas,turbo,two,hatchback,rwd,front,178.4,68,54.8,2910,four,140,175,5000,19,24,16503,1
161,mitsubishi,gas,std,two,hatchback,fwd,front,157.3,64.4,50.8,1918,four,92,68,5500,37,41,5389,2
161,mitsubishi,gas,std,two,hatchback,fwd,front,157.3,64.4,50.8,1944,four,92,68,5500,31,38,6189,2
161,mitsubishi,gas,std,two,hatchback,fwd,front,157.3,64.4,50.8,2004,four,92,68,5500,31,38,6669,2
161,mitsubishi,gas,turbo,two,hatchback,fwd,front,157.3,63.8,50.8,2145,four,98,102,5500,24,30,7689,1
153,mitsubishi,gas,turbo,two,hatchback,fwd,front,173,65.4,49.4,2370,four,110,116,5500,23,30,9959,3
153,mitsubishi,gas,std,two,hatchback,fwd,front,173,65.4,49.4,2328,four,122,88,5000,25,32,8499,3
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,173.2,66.3,50.2,2833,four,156,145,5000,19,24,12629,3
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,173.2,66.3,50.2,2921,four,156,145,5000,19,24,14869,3
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,173.2,66.3,50.2,2926,four,156,145,5000,19,24,14489,3
125,mitsubishi,gas,std,four,sedan,fwd,front,172.4,65.4,51.6,2365,four,122,88,5000,25,32,6989,1
125,mitsubishi,gas,std,four,sedan,fwd,front,172.4,65.4,51.6,2405,four,122,88,5000,25,32,8189,1
125,mitsubishi,gas,turbo,four,sedan,fwd,front,172.4,65.4,51.6,2403,four,110,116,5500,23,30,9279,1
137,mitsubishi,gas,std,four,sedan,fwd,front,172.4,65.4,51.6,2403,four,110,116,5500,23,30,9279,-1
128,nissan,gas,std,two,sedan,fwd,front,165.3,63.8,54.5,1889,four,97,69,5200,31,37,5499,1
128,nissan,diesel,std,two,sedan,fwd,front,165.3,63.8,54.5,2017,four,103,55,4800,45,50,7099,1
128,nissan,gas,std,two,sedan,fwd,front,165.3,63.8,54.5,1918,four,97,69,5200,31,37,6649,1
122,nissan,gas,std,four,sedan,fwd,front,165.3,63.8,54.5,1938,four,97,69,5200,31,37,6849,1
103,nissan,gas,std,four,wagon,fwd,front,170.2,63.8,53.5,2024,four,97,69,5200,31,37,7349,1
128,nissan,gas,std,two,sedan,fwd,front,165.3,63.8,54.5,1951,four,97,69,5200,31,37,7299,1
128,nissan,gas,std,two,hatchback,fwd,front,165.6,63.8,53.3,2028,four,97,69,5200,31,37,7799,1
122,nissan,gas,std,four,sedan,fwd,front,165.3,63.8,54.5,1971,four,97,69,5200,31,37,7499,1
103,nissan,gas,std,four,wagon,fwd,front,170.2,63.8,53.5,2037,four,97,69,5200,31,37,7999,1
168,nissan,gas,std,two,hardtop,fwd,front,162.4,63.8,53.3,2008,four,97,69,5200,31,37,8249,2
106,nissan,gas,std,four,hatchback,fwd,front,173.4,65.2,54.7,2324,four,120,97,5200,27,34,8949,0
106,nissan,gas,std,four,sedan,fwd,front,173.4,65.2,54.7,2302,four,120,97,5200,27,34,9549,0
128,nissan,gas,std,four,sedan,fwd,front,181.7,66.5,55.1,3095,six,181,152,5200,17,22,13499,0
108,nissan,gas,std,four,wagon,fwd,front,184.6,66.5,56.1,3296,six,181,152,5200,17,22,14399,0
108,nissan,gas,std,four,sedan,fwd,front,184.6,66.5,55.1,3060,six,181,152,5200,19,25,13499,0
194,nissan,gas,std,two,hatchback,rwd,front,170.7,67.9,49.7,3071,six,181,160,5200,19,25,17199,3
194,nissan,gas,turbo,two,hatchback,rwd,front,170.7,67.9,49.7,3139,six,181,200,5200,17,23,19699,3
231,nissan,gas,std,two,hatchback,rwd,front,178.5,67.9,49.7,3139,six,181,160,5200,19,25,18399,1
161,peugot,gas,std,four,sedan,rwd,front,186.7,68.4,56.7,3020,four,120,97,5000,19,24,11900,0
161,peugot,diesel,turbo,four,sedan,rwd,front,186.7,68.4,56.7,3197,four,152,95,4150,28,33,13200,0
?,peugot,gas,std,four,wagon,rwd,front,198.9,68.4,58.7,3230,four,120,97,5000,19,24,12440,0
?,peugot,diesel,turbo,four,wagon,rwd,front,198.9,68.4,58.7,3430,four,152,95,4150,25,25,13860,0
161,peugot,gas,std,four,sedan,rwd,front,186.7,68.4,56.7,3075,four,120,95,5000,19,24,15580,0
161,peugot,diesel,turbo,four,sedan,rwd,front,186.7,68.4,56.7,3252,four,152,95,4150,28,33,16900,0
?,peugot,gas,std,four,wagon,rwd,front,198.9,68.4,56.7,3285,four,120,95,5000,19,24,16695,0
?,peugot,diesel,turbo,four,wagon,rwd,front,198.9,68.4,58.7,3485,four,152,95,4150,25,25,17075,0
161,peugot,gas,std,four,sedan,rwd,front,186.7,68.4,56.7,3075,four,120,97,5000,19,24,16630,0
161,peugot,diesel,turbo,four,sedan,rwd,front,186.7,68.4,56.7,3252,four,152,95,4150,28,33,17950,0
161,peugot,gas,turbo,four,sedan,rwd,front,186.7,68.3,56,3130,four,134,142,5600,18,24,18150,0
119,plymouth,gas,std,two,hatchback,fwd,front,157.3,63.8,50.8,1918,four,90,68,5500,37,41,5572,1
119,plymouth,gas,turbo,two,hatchback,fwd,front,157.3,63.8,50.8,2128,four,98,102,5500,24,30,7957,1
154,plymouth,gas,std,four,hatchback,fwd,front,157.3,63.8,50.6,1967,four,90,68,5500,31,38,6229,1
154,plymouth,gas,std,four,sedan,fwd,front,167.3,63.8,50.8,1989,four,90,68,5500,31,38,6692,1
154,plymouth,gas,std,four,sedan,fwd,front,167.3,63.8,50.8,2191,four,98,68,5500,31,38,7609,1
74,plymouth,gas,std,four,wagon,fwd,front,174.6,64.6,59.8,2535,four,122,88,5000,24,30,8921,-1
?,plymouth,gas,turbo,two,hatchback,rwd,front,173.2,66.3,50.2,2818,four,156,145,5000,19,24,12764,3
186,porsche,gas,std,two,hatchback,rwd,front,168.9,68.3,50.2,2778,four,151,143,5500,19,27,22018,3
?,porsche,gas,std,two,hardtop,rwd,rear,168.9,65,51.6,2756,six,194,207,5900,17,25,32528,3
?,porsche,gas,std,two,hardtop,rwd,rear,168.9,65,51.6,2756,six,194,207,5900,17,25,34028,3
?,porsche,gas,std,two,convertible,rwd,rear,168.9,65,51.6,2800,six,194,207,5900,17,25,37028,3
?,porsche,gas,std,two,hatchback,rwd,front,175.7,72.3,50.5,3366,eight,203,288,5750,17,28,?,1
?,renault,gas,std,four,wagon,fwd,front,181.5,66.5,55.2,2579,four,132,?,?,23,31,9295,0
?,renault,gas,std,two,hatchback,fwd,front,176.8,66.6,50.5,2460,four,132,?,?,23,31,9895,2
150,saab,gas,std,two,hatchback,fwd,front,186.6,66.5,56.1,2658,four,121,110,5250,21,28,11850,3
104,saab,gas,std,four,sedan,fwd,front,186.6,66.5,56.1,2695,four,121,110,5250,21,28,12170,2
150,saab,gas,std,two,hatchback,fwd,front,186.6,66.5,56.1,2707,four,121,110,5250,21,28,15040,3
104,saab,gas,std,four,sedan,fwd,front,186.6,66.5,56.1,2758,four,121,110,5250,21,28,15510,2
150,saab,gas,turbo,two,hatchback,fwd,front,186.6,66.5,56.1,2808,four,121,160,5500,19,26,18150,3
104,saab,gas,turbo,four,sedan,fwd,front,186.6,66.5,56.1,2847,four,121,160,5500,19,26,18620,2
83,subaru,gas,std,two,hatchback,fwd,front,156.9,63.4,53.7,2050,four,97,69,4900,31,36,5118,2
83,subaru,gas,std,two,hatchback,fwd,front,157.9,63.6,53.7,2120,four,108,73,4400,26,31,7053,2
83,subaru,gas,std,two,hatchback,4wd,front,157.3,63.8,55.7,2240,four,108,73,4400,26,31,7603,2
102,subaru,gas,std,four,sedan,fwd,front,172,65.4,52.5,2145,four,108,82,4800,32,37,7126,0
102,subaru,gas,std,four,sedan,fwd,front,172,65.4,52.5,2190,four,108,82,4400,28,33,7775,0
102,subaru,gas,std,four,sedan,fwd,front,172,65.4,52.5,2340,four,108,94,5200,26,32,9960,0
102,subaru,gas,std,four,sedan,4wd,front,172,65.4,54.3,2385,four,108,82,4800,24,25,9233,0
